continent,region,subregion,country
Asia,Southern Asia,Southern Asia,Afghanistan
Europe,Southern Europe,Southern Europe,Albania
Americas,Northern America,Northern America,Antarctica
Africa,Northern Africa,Northern Africa,Algeria
Oceania,Polynesia,Polynesia,American Samoa
Europe,Southern Europe,Southern Europe,Andorra
Africa,Sub-Saharan Africa,Middle Africa,Angola
Americas,Latin America and the Caribbean,Caribbean,Antigua and Barbuda
Asia,Western Asia,Western Asia,Azerbaijan
Americas,South America,South America,Argentina
Oceania,Australia and New Zealand,Australia and New Zealand,Australia
Europe,Western Europe,Western Europe,Austria
Americas,Latin America and the Caribbean,Caribbean,Bahamas
Asia,Western Asia,Western Asia,Bahrain
Asia,Southern Asia,Southern Asia,Bangladesh
Asia,Western Asia,Western Asia,Armenia
Americas,Latin America and the Caribbean,Caribbean,Barbados
Europe,Western Europe,Western Europe,Belgium
Americas,Northern America,Northern America,Bermuda
Asia,Southern Asia,Southern Asia,Bhutan
Americas,South America,South America,Bolivia
Europe,Southern Europe,Southern Europe,Bosnia and Herzegovina
Africa,Sub-Saharan Africa,Southern Africa,Botswana
Americas,South America,South America,Bouvet Island
Americas,South America,South America,Brazil
Americas,Central America,Central America,Belize
Africa,Sub-Saharan Africa,Eastern Africa,British Indian Ocean Territory
Oceania,Melanesia,Melanesia,Solomon Islands
Americas,Latin America and the Caribbean,Caribbean,British Virgin Islands
Asia,South-eastern Asia,South-eastern Asia,Brunei
Europe,Eastern Europe,Eastern Europe,Bulgaria
Asia,South-eastern Asia,South-eastern Asia,Myanmar
Africa,Sub-Saharan Africa,Eastern Africa,Burundi
Europe,Eastern Europe,Eastern Europe,Belarus
Asia,South-eastern Asia,South-eastern Asia,Cambodia
Africa,Sub-Saharan Africa,Middle Africa,Cameroon
Americas,Northern America,Northern America,Canada
Africa,Sub-Saharan Africa,Western Africa,Cape Verde
Americas,Latin America and the Caribbean,Caribbean,Cayman Islands
Africa,Sub-Saharan Africa,Middle Africa,Central African Republic
Asia,Southern Asia,Southern Asia,Sri Lanka
Africa,Sub-Saharan Africa,Middle Africa,Chad
Americas,South America,South America,Chile
Asia,Eastern Asia,Eastern Asia,China
Oceania,Australia and New Zealand,Australia and New Zealand,Christmas Island
Oceania,Australia and New Zealand,Australia and New Zealand,Cocos (Keeling) Islands
Americas,South America,South America,Colombia
Africa,Sub-Saharan Africa,Eastern Africa,Comoros
